"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmarking.PurchaseOrderBenchmark.phobos50000:·gc.churn.PS_Eden_Space","avgt",1,20,292.881538,321.338711,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos50000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,211446406.800000,230793927.436677,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos50000:·gc.churn.PS_Survivor_Space","avgt",1,20,5.015194,8.017127,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos50000:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,3573452.800000,5593649.442899,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos50000:·gc.count","avgt",1,20,8.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos50000:·gc.time","avgt",1,20,160.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.phobos75","avgt",1,20,0.003932,0.001844,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos75:·gc.alloc.rate","avgt",1,20,0.786116,0.229235,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos75:·gc.alloc.rate.norm","avgt",1,20,347970.600000,16174.548392,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos75:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos750","avgt",1,20,0.010316,0.002029,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos750:·gc.alloc.rate","avgt",1,20,5.239113,0.036796,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos750:·gc.alloc.rate.norm","avgt",1,20,2808382.800000,23710.271964,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos750:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos7500","avgt",1,20,0.057786,0.021857,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos7500:·gc.alloc.rate","avgt",1,20,49.444872,1.216944,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos7500:·gc.alloc.rate.norm","avgt",1,20,28976429.200000,1623291.477648,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos7500:·gc.churn.PS_Eden_Space","avgt",1,20,81.340064,217.870074,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos7500:·gc.churn.PS_Eden_Space.norm","avgt",1,20,52953088.000000,141541105.310595,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos7500:·gc.churn.PS_Survivor_Space","avgt",1,20,0.892668,2.405233,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos7500:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,579404.400000,1552934.661789,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos7500:·gc.count","avgt",1,20,2.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos7500:·gc.time","avgt",1,20,120.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.phobos75000","avgt",1,20,0.212838,0.031428,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos75000:·gc.alloc.rate","avgt",1,20,383.128043,15.716086,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos75000:·gc.alloc.rate.norm","avgt",1,20,286025958.400000,1091434.180562,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos75000:·gc.churn.PS_Eden_Space","avgt",1,20,378.673084,276.493235,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos75000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,287396049.600000,209167030.113222,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos75000:·gc.churn.PS_Survivor_Space","avgt",1,20,12.717746,15.928490,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos75000:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,9432732.000000,11704572.420159,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos75000:·gc.count","avgt",1,20,12.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos75000:·gc.time","avgt",1,20,220.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.phobos8","avgt",1,20,0.003510,0.001149,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos8:·gc.alloc.rate","avgt",1,20,0.101937,0.018405,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos8:·gc.alloc.rate.norm","avgt",1,20,51450.200000,3297.747887,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos8:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb0","avgt",1,20,0.008057,0.002078,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb0:·gc.alloc.rate","avgt",1,20,0.157291,0.010601,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb0:·gc.alloc.rate.norm","avgt",1,20,83950.800000,5756.513390,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb0:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb1","avgt",1,20,0.007150,0.001712,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb1:·gc.alloc.rate","avgt",1,20,0.179755,0.010529,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb1:·gc.alloc.rate.norm","avgt",1,20,95742.000000,5717.599122,"B/op"
